*  HI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
    0.1000000  3.93266e-29
     0.100215  3.93984e-29
     0.100430  3.94698e-29
     0.100645  3.95410e-29
     0.100861  3.96120e-29
     0.101077  3.96826e-29
     0.101294  3.97531e-29
     0.101512  3.98235e-29
     0.101729  3.98937e-29
     0.101948  3.99642e-29
     0.102166  4.00348e-29
     0.102386  4.01055e-29
     0.102605  4.01765e-29
     0.102825  4.02478e-29
     0.103046  4.03196e-29
     0.103267  4.03918e-29
     0.103489  4.04647e-29
     0.103711  4.05383e-29
     0.103933  4.06120e-29
     0.104156  4.06866e-29
     0.104380  4.07621e-29
     0.104604  4.08381e-29
     0.104828  4.09148e-29
     0.105053  4.09924e-29
     0.105279  4.10708e-29
     0.105504  4.11492e-29
     0.105731  4.12279e-29
     0.105958  4.13073e-29
     0.106185  4.13873e-29
     0.106413  4.14672e-29
     0.106641  4.15471e-29
     0.106870  4.16275e-29
     0.107099  4.17077e-29
     0.107329  4.17875e-29
     0.107559  4.18675e-29
     0.107790  4.19470e-29
     0.108021  4.20263e-29
     0.108253  4.21057e-29
     0.108485  4.21841e-29
     0.108718  4.22620e-29
     0.108951  4.23398e-29
     0.109185  4.24168e-29
     0.109420  4.24932e-29
     0.109654  4.25693e-29
     0.109890  4.26450e-29
     0.110125  4.27199e-29
     0.110362  4.27943e-29
     0.110598  4.28689e-29
     0.110836  4.29430e-29
     0.111074  4.30167e-29
     0.111312  4.30904e-29
     0.111551  4.31645e-29
     0.111790  4.32385e-29
     0.112030  4.33127e-29
     0.112270  4.33874e-29
     0.112511  4.34625e-29
     0.112753  4.35382e-29
     0.112994  4.36147e-29
     0.113237  4.36918e-29
     0.113480  4.37697e-29
     0.113723  4.38488e-29
     0.113967  4.39285e-29
     0.114212  4.40090e-29
     0.114457  4.40908e-29
     0.114703  4.41734e-29
     0.114949  4.42568e-29
     0.115195  4.43411e-29
     0.115442  4.44257e-29
     0.115690  4.45109e-29
     0.115938  4.45968e-29
     0.116187  4.46833e-29
     0.116436  4.47698e-29
