*  HI b-b recombination spectrum arising from HeI recombination (cont. opacity)
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
    0.1000000      0.00000
     0.100215      0.00000
     0.100430      0.00000
     0.100645      0.00000
     0.100861      0.00000
     0.101077      0.00000
     0.101294      0.00000
     0.101512      0.00000
     0.101729      0.00000
     0.101948      0.00000
     0.102166      0.00000
     0.102386      0.00000
     0.102605      0.00000
     0.102825      0.00000
     0.103046      0.00000
     0.103267      0.00000
     0.103489      0.00000
     0.103711      0.00000
     0.103933      0.00000
     0.104156      0.00000
     0.104380      0.00000
     0.104604      0.00000
     0.104828      0.00000
     0.105053      0.00000
     0.105279      0.00000
     0.105504      0.00000
     0.105731      0.00000
     0.105958      0.00000
     0.106185      0.00000
     0.106413      0.00000
     0.106641      0.00000
     0.106870      0.00000
     0.107099      0.00000
     0.107329      0.00000
     0.107559      0.00000
     0.107790      0.00000
     0.108021      0.00000
     0.108253      0.00000
     0.108485      0.00000
     0.108718      0.00000
     0.108951      0.00000
     0.109185      0.00000
     0.109420      0.00000
     0.109654      0.00000
     0.109890      0.00000
     0.110125      0.00000
     0.110362      0.00000
     0.110598      0.00000
     0.110836      0.00000
     0.111074      0.00000
     0.111312      0.00000
     0.111551      0.00000
     0.111790      0.00000
     0.112030      0.00000
     0.112270      0.00000
     0.112511      0.00000
     0.112753      0.00000
     0.112994      0.00000
     0.113237      0.00000
     0.113480      0.00000
     0.113723      0.00000
     0.113967      0.00000
     0.114212      0.00000
     0.114457      0.00000
     0.114703      0.00000
     0.114949      0.00000
     0.115195      0.00000
     0.115442      0.00000
     0.115690      0.00000
     0.115938      0.00000
     0.116187      0.00000
     0.116436      0.00000
     0.116686      0.00000
     0.116937      0.00000
     0.117188      0.00000
     0.117439      0.00000
     0.117691      0.00000
     0.117943      0.00000
     0.118197      0.00000
     0.118450      0.00000
     0.118704      0.00000
     0.118959      0.00000
     0.119214      0.00000
     0.119470      0.00000
     0.119726      0.00000
     0.119983      0.00000
     0.120241      0.00000
     0.120499      0.00000
     0.120757      0.00000
     0.121016      0.00000
     0.121276      0.00000
