*  HeI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
    0.1000000  1.15375e-31
     0.100215  1.16527e-31
     0.100430  1.17669e-31
     0.100645  1.18788e-31
     0.100861  1.19869e-31
     0.101077  1.20895e-31
     0.101294  1.21857e-31
     0.101512  1.22738e-31
     0.101729  1.23524e-31
     0.101948  1.24210e-31
     0.102166  1.24781e-31
     0.102386  1.25222e-31
     0.102605  1.25534e-31
     0.102825  1.25709e-31
     0.103046  1.25739e-31
     0.103267  1.25629e-31
     0.103489  1.25379e-31
     0.103711  1.24995e-31
     0.103933  1.24474e-31
     0.104156  1.23829e-31
     0.104380  1.23068e-31
     0.104604  1.22199e-31
     0.104828  1.21234e-31
     0.105053  1.20186e-31
     0.105279  1.19073e-31
     0.105504  1.17905e-31
     0.105731  1.16700e-31
     0.105958  1.15475e-31
     0.106185  1.14238e-31
     0.106413  1.13009e-31
     0.106641  1.11808e-31
     0.106870  1.10648e-31
     0.107099  1.09545e-31
     0.107329  1.08513e-31
     0.107559  1.07569e-31
     0.107790  1.06722e-31
     0.108021  1.05986e-31
     0.108253  1.05371e-31
     0.108485  1.04884e-31
     0.108718  1.04537e-31
     0.108951  1.04334e-31
     0.109185  1.04272e-31
     0.109420  1.04359e-31
     0.109654  1.04593e-31
     0.109890  1.04973e-31
     0.110125  1.05495e-31
     0.110362  1.06159e-31
     0.110598  1.06948e-31
     0.110836  1.07857e-31
     0.111074  1.08875e-31
     0.111312  1.09989e-31
     0.111551  1.11188e-31
     0.111790  1.12453e-31
     0.112030  1.13766e-31
     0.112270  1.15114e-31
     0.112511  1.16480e-31
     0.112753  1.17849e-31
     0.112994  1.19196e-31
     0.113237  1.20510e-31
     0.113480  1.21785e-31
     0.113723  1.22996e-31
     0.113967  1.24137e-31
     0.114212  1.25194e-31
     0.114457  1.26161e-31
     0.114703  1.27024e-31
     0.114949  1.27788e-31
     0.115195  1.28455e-31
     0.115442  1.29015e-31
     0.115690  1.29478e-31
     0.115938  1.29847e-31
     0.116187  1.30126e-31
     0.116436  1.30324e-31
