*  HeII bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
    0.1000000  3.30464e-30
     0.100215  3.31200e-30
     0.100430  3.31936e-30
     0.100645  3.32673e-30
     0.100861  3.33409e-30
     0.101077  3.34147e-30
     0.101294  3.34889e-30
     0.101512  3.35633e-30
     0.101729  3.36372e-30
     0.101948  3.37109e-30
     0.102166  3.37853e-30
     0.102386  3.38593e-30
     0.102605  3.39316e-30
     0.102825  3.40067e-30
     0.103046  3.40830e-30
     0.103267  3.41570e-30
     0.103489  3.42310e-30
     0.103711  3.43055e-30
     0.103933  3.43797e-30
     0.104156  3.44543e-30
     0.104380  3.45288e-30
     0.104604  3.46033e-30
     0.104828  3.46781e-30
     0.105053  3.47524e-30
     0.105279  3.48298e-30
     0.105504  3.49130e-30
     0.105731  3.49918e-30
     0.105958  3.50667e-30
     0.106185  3.51433e-30
     0.106413  3.52198e-30
     0.106641  3.52960e-30
     0.106870  3.53723e-30
     0.107099  3.54489e-30
     0.107329  3.55258e-30
     0.107559  3.56028e-30
     0.107790  3.56796e-30
     0.108021  3.57568e-30
     0.108253  3.58343e-30
     0.108485  3.59111e-30
     0.108718  3.59882e-30
     0.108951  3.60657e-30
     0.109185  3.61434e-30
     0.109420  3.62208e-30
     0.109654  3.62983e-30
     0.109890  3.63759e-30
     0.110125  3.64538e-30
     0.110362  3.65319e-30
     0.110598  3.66091e-30
     0.110836  3.66847e-30
     0.111074  3.67634e-30
     0.111312  3.68438e-30
     0.111551  3.69218e-30
     0.111790  3.69993e-30
     0.112030  3.70779e-30
     0.112270  3.71573e-30
     0.112511  3.72359e-30
     0.112753  3.73135e-30
     0.112994  3.73911e-30
     0.113237  3.74696e-30
     0.113480  3.75482e-30
     0.113723  3.76263e-30
     0.113967  3.77044e-30
     0.114212  3.77833e-30
     0.114457  3.78622e-30
     0.114703  3.79405e-30
     0.114949  3.80190e-30
     0.115195  3.80982e-30
     0.115442  3.81773e-30
     0.115690  3.82548e-30
     0.115938  3.83387e-30
     0.116187  3.84275e-30
     0.116436  3.85086e-30
