Noise in Synthesized Frequency Channels for 1-Second Integration
 
Configuration for High-Frequency FTS
     Min Freq = 403.4 GHz
     Max Freq = 5994.1 GHz
     Channel Width = 57.6 GHz
 
Frequency     Intensity     Polarization
  (GHz)     (W/m^2/Hz/sr)   (W/m^2/Hz/sr)
 403.4         6.45E-23         4.98E-23
 461.1         6.55E-23         5.06E-23
 518.7         6.67E-23         5.16E-23
 576.4         6.81E-23         5.26E-23
 634.0         6.96E-23         5.38E-23
 691.6         7.13E-23         5.51E-23
 749.3         7.32E-23         5.65E-23
 806.9         7.52E-23         5.81E-23
 864.5         7.75E-23         5.99E-23
 922.2         8.00E-23         6.18E-23
 979.8         8.27E-23         6.39E-23
1037.4         8.57E-23         6.62E-23
1095.1         8.89E-23         6.87E-23
1152.7         9.23E-23         7.14E-23
1210.3         9.61E-23         7.43E-23
1268.0         1.00E-22         7.74E-23
1325.6         1.05E-22         8.08E-23
1383.3         1.09E-22         8.45E-23
1440.9         1.14E-22         8.84E-23
1498.5         1.20E-22         9.27E-23
1556.2         1.26E-22         9.73E-23
1613.8         1.32E-22         1.02E-22
1671.4         1.39E-22         1.07E-22
1729.1         1.47E-22         1.13E-22
1786.7         1.54E-22         1.19E-22
1844.3         1.63E-22         1.26E-22
1902.0         1.72E-22         1.33E-22
1959.6         1.82E-22         1.41E-22
2017.2         1.93E-22         1.49E-22
2074.9         2.04E-22         1.58E-22
2132.5         2.16E-22         1.67E-22
2190.2         2.29E-22         1.77E-22
2247.8         2.43E-22         1.88E-22
2305.4         2.59E-22         2.00E-22
2363.1         2.75E-22         2.12E-22
2420.7         2.92E-22         2.26E-22
2478.3         3.11E-22         2.40E-22
2536.0         3.31E-22         2.56E-22
2593.6         3.52E-22         2.72E-22
2651.2         3.75E-22         2.90E-22
2708.9         4.00E-22         3.09E-22
2766.5         4.26E-22         3.29E-22
2824.1         4.55E-22         3.51E-22
2881.8         4.85E-22         3.75E-22
2939.4         5.17E-22         4.00E-22
2997.1         5.52E-22         4.27E-22
3054.7         5.89E-22         4.55E-22
3112.3         6.29E-22         4.86E-22
3170.0         6.72E-22         5.19E-22
3227.6         7.17E-22         5.54E-22
3285.2         7.66E-22         5.92E-22
3342.9         8.18E-22         6.32E-22
3400.5         8.74E-22         6.75E-22
3458.1         9.33E-22         7.21E-22
3515.8         9.97E-22         7.70E-22
3573.4         1.06E-21         8.22E-22
3631.0         1.14E-21         8.78E-22
3688.7         1.21E-21         9.38E-22
3746.3         1.30E-21         1.00E-21
3803.9         1.38E-21         1.07E-21
3861.6         1.48E-21         1.14E-21
3919.2         1.58E-21         1.22E-21
3976.9         1.69E-21         1.30E-21
4034.5         1.80E-21         1.39E-21
4092.1         1.92E-21         1.48E-21
4149.8         2.05E-21         1.58E-21
4207.4         2.19E-21         1.69E-21
4265.0         2.33E-21         1.80E-21
4322.7         2.49E-21         1.92E-21
4380.3         2.65E-21         2.05E-21
4437.9         2.83E-21         2.19E-21
4495.6         3.02E-21         2.33E-21
4553.2         3.21E-21         2.48E-21
4610.8         3.43E-21         2.65E-21
4668.5         3.65E-21         2.82E-21
4726.1         3.89E-21         3.00E-21
4783.8         4.14E-21         3.20E-21
4841.4         4.41E-21         3.41E-21
4899.0         4.69E-21         3.62E-21
4956.7         4.99E-21         3.86E-21
5014.3         5.31E-21         4.10E-21
5071.9         5.65E-21         4.36E-21
5129.6         6.01E-21         4.64E-21
5187.2         6.39E-21         4.93E-21
5244.8         6.79E-21         5.24E-21
5302.5         7.21E-21         5.57E-21
5360.1         7.66E-21         5.92E-21
5417.7         8.14E-21         6.29E-21
5475.4         8.64E-21         6.68E-21
5533.0         9.17E-21         7.09E-21
5590.7         9.73E-21         7.52E-21
5648.3         1.03E-20         7.98E-21
5705.9         1.09E-20         8.46E-21
5763.6         1.16E-20         8.97E-21
5821.2         1.23E-20         9.51E-21
5878.8         1.30E-20         1.01E-20
5936.5         1.38E-20         1.07E-20
5994.1         1.46E-20         1.13E-20
