#Noise in Synthesized Frequency Channels for 1-Second Integration
# 
#Configuration for Mid-Frequency FTS
#     Min Freq = 19.2 GHz
#     Max Freq = 595.6 GHz
#     Channel Width = 19.2 GHz
# 
#Frequency     Intensity     Polarization
#  (GHz)     (W/m^2/Hz/sr)   (W/m^2/Hz/sr)
  19.2         1.24E-22         6.22E-23
  38.4         1.24E-22         6.23E-23
  57.6         1.24E-22         6.23E-23
  76.8         1.25E-22         6.24E-23
  96.1         1.25E-22         6.24E-23
 115.3         1.25E-22         6.25E-23
 134.5         1.25E-22         6.26E-23
 153.7         1.25E-22         6.27E-23
 172.9         1.26E-22         6.28E-23
 192.1         1.26E-22         6.30E-23
 211.3         1.26E-22         6.31E-23
 230.5         1.26E-22         6.33E-23
 249.8         1.27E-22         6.35E-23
 269.0         1.27E-22         6.37E-23
 288.2         1.28E-22         6.39E-23
 307.4         1.28E-22         6.42E-23
 326.6         1.29E-22         6.44E-23
 345.8         1.29E-22         6.47E-23
 365.0         1.30E-22         6.50E-23
 384.2         1.30E-22         6.53E-23
 403.4         1.31E-22         6.56E-23
 422.7         1.32E-22         6.59E-23
 441.9         1.32E-22         6.63E-23
 461.1         1.33E-22         6.67E-23
 480.3         1.34E-22         6.71E-23
 499.5         1.35E-22         6.75E-23
 518.7         1.36E-22         6.79E-23
 537.9         1.36E-22         6.83E-23
 557.1         1.37E-22         6.88E-23
 576.4         1.38E-22         6.93E-23
 595.6         1.39E-22         6.98E-23
